[exp28_head8_emb256_bs16_it1000_do0.1] iter 650/1000 | train_now 2.1819 | train_eval 2.0462 | val 2.0893 | gap -0.0431 | lr 1.97e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 925.4 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 660/1000 | train_now 2.1124 | train_eval 2.0425 | val 2.0876 | gap -0.0451 | lr 1.88e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 915.1 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 670/1000 | train_now 2.1372 | train_eval 2.0143 | val 2.0974 | gap -0.0831 | lr 1.78e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 914.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 680/1000 | train_now 2.0386 | train_eval 2.0159 | val 2.0913 | gap -0.0754 | lr 1.68e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 891.0 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 690/1000 | train_now 2.0894 | train_eval 2.0162 | val 2.0670 | gap -0.0508 | lr 1.59e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 907.9 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 700/1000 | train_now 2.0597 | train_eval 2.0081 | val 2.0740 | gap -0.0659 | lr 1.50e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 952.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 710/1000 | train_now 2.0288 | train_eval 2.0164 | val 2.0547 | gap -0.0383 | lr 1.41e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 910.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 720/1000 | train_now 2.1176 | train_eval 1.9915 | val 2.0712 | gap -0.0797 | lr 1.32e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 938.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 730/1000 | train_now 2.0599 | train_eval 2.0019 | val 2.0665 | gap -0.0646 | lr 1.24e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 889.7 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 740/1000 | train_now 2.0913 | train_eval 1.9789 | val 2.0345 | gap -0.0556 | lr 1.15e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 891.1 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 750/1000 | train_now 2.0189 | train_eval 1.9678 | val 2.0526 | gap -0.0848 | lr 1.07e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 916.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 760/1000 | train_now 2.0406 | train_eval 1.9715 | val 2.0489 | gap -0.0774 | lr 9.93e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 893.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 770/1000 | train_now 2.0467 | train_eval 1.9881 | val 2.0442 | gap -0.0561 | lr 9.16e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 895.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 780/1000 | train_now 2.0576 | train_eval 1.9753 | val 2.0442 | gap -0.0689 | lr 8.42e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 892.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 790/1000 | train_now 2.0337 | train_eval 1.9689 | val 2.0157 | gap -0.0468 | lr 7.71e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 891.9 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 800/1000 | train_now 2.0213 | train_eval 1.9614 | val 2.0314 | gap -0.0700 | lr 7.02e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 916.7 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 810/1000 | train_now 2.0117 | train_eval 1.9539 | val 2.0396 | gap -0.0856 | lr 6.36e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 894.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 820/1000 | train_now 2.0619 | train_eval 1.9618 | val 2.0338 | gap -0.0720 | lr 5.73e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 893.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 830/1000 | train_now 2.0429 | train_eval 1.9604 | val 2.0294 | gap -0.0690 | lr 5.13e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 901.4 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 840/1000 | train_now 1.9861 | train_eval 1.9689 | val 2.0170 | gap -0.0481 | lr 4.56e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 903.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 850/1000 | train_now 2.0073 | train_eval 1.9512 | val 2.0323 | gap -0.0811 | lr 4.02e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 911.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 860/1000 | train_now 2.0373 | train_eval 1.9368 | val 2.0477 | gap -0.1109 | lr 3.51e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 897.4 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 870/1000 | train_now 1.9953 | train_eval 1.9516 | val 2.0365 | gap -0.0849 | lr 3.04e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 894.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 880/1000 | train_now 1.9916 | train_eval 1.9566 | val 2.0226 | gap -0.0660 | lr 2.59e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 894.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 890/1000 | train_now 2.0005 | train_eval 1.9545 | val 2.0227 | gap -0.0682 | lr 2.18e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 892.9 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 900/1000 | train_now 2.0095 | train_eval 1.9359 | val 2.0033 | gap -0.0674 | lr 1.81e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 893.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 910/1000 | train_now 2.0006 | train_eval 1.9537 | val 2.0193 | gap -0.0656 | lr 1.47e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 917.7 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 920/1000 | train_now 2.0589 | train_eval 1.9481 | val 2.0147 | gap -0.0666 | lr 1.16e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 897.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 930/1000 | train_now 1.9869 | train_eval 1.9387 | val 2.0254 | gap -0.0866 | lr 8.91e-06 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 894.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 940/1000 | train_now 1.9974 | train_eval 1.9499 | val 2.0237 | gap -0.0738 | lr 6.56e-06 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 893.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 950/1000 | train_now 1.9961 | train_eval 1.9366 | val 2.0252 | gap -0.0887 | lr 4.56e-06 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 890.1 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 960/1000 | train_now 2.0186 | train_eval 1.9339 | val 2.0279 | gap -0.0940 | lr 2.92e-06 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 897.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 970/1000 | train_now 2.0346 | train_eval 1.9336 | val 2.0282 | gap -0.0946 | lr 1.64e-06 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 900.9 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 980/1000 | train_now 2.0438 | train_eval 1.9304 | val 2.0092 | gap -0.0788 | lr 7.31e-07 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 918.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 990/1000 | train_now 1.9850 | train_eval 1.9508 | val 2.0168 | gap -0.0661 | lr 1.83e-07 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 911.9 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 999/1000 | train_now 2.0591 | train_eval 1.9519 | val 2.0131 | gap -0.0612 | lr 1.83e-09 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 872.1 ms/it
